price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model,chip_model_encoded,brand_encoded,screen_tech_encoded,screen_resolution_k_encoded
2750000.0,8.0,256,6.67,IPS LCD,120.0,32,1,Realme,Low,HD,Dimensity 6300,7684737.824675324,5811214.52041934,4392873.934982215,8634637.256053168
3950000.0,8.0,256,6.6,IPS LCD,90.0,50,2,Realme,Medium,HD,Dimensity 700,9103548.277809147,6119544.246451223,4463947.352049148,8392006.16412573
9050000.0,8.0,128,6.02,AMOLED,60.0,20,2,Xiaomi,High,HD,Snapdragon 845,9677695.73283859,8068072.034632035,9082156.038961038,8392006.16412573
8450000.0,12.0,256,6.55,OLED,120.0,64,3,Xiaomi,High,HD,Snapdragon 778g,9227096.68109668,7742930.647583708,10606840.645840645,8402907.66897336
6990000.0,12.0,512,6.67,AMOLED,120.0,50,2,Vivo,Medium,HD,Snapdragon 4 gen 2,8561264.415584415,8987866.719139446,9032217.12458396,8308181.232125276
2250000.0,3.0,32,6.09,IPS LCD,60.0,8,2,Vsmart,Low,HD,Helio p35,8629650.432900432,7388720.346320346,4344381.985756178,8402907.66897336
6688000.0,12.0,256,6.64,IPS LCD,60.0,50,2,Vivo,Medium,HD,Dimensity 6020,9467345.926800473,8832342.27994228,4392873.934982215,8634637.256053168
15950000.0,16.0,1024,6.3,AMOLED,120.0,50,3,OPPO,Premium,HD,Dimensity 9500,10479635.234330887,9498923.73081464,9032217.12458396,8308181.232125276
10250000.0,12.0,512,6.55,OLED,144.0,50,3,Meizu,High,HD,Snapdragon 8 gen 2,13982232.207792208,9922988.540870894,10126660.111317253,8634637.256053168
19190000.0,12.0,128,6.1,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic,15707641.737572772,19062302.697302695,17377780.89652283,8392006.16412573
4890000.0,8.0,256,6.745,IPS LCD,90.0,50,1,Realme,Medium,HD,Tiger t612,9006591.756070016,5931437.419723134,4382790.110510607,8518776.899995312
9290000.0,12.0,512,6.67,AMOLED,120.0,200,3,Xiaomi,High,HD,Snapdragon 7,8838207.792207792,8032423.5633647395,8930213.511876725,8634637.256053168
5750000.0,8.0,256,6.68,IPS LCD,90.0,50,2,Vivo,Medium,HD,Helio G85,7225341.482047364,9073320.485965647,4344381.985756178,8402907.66897336
4650000.0,8.0,128,6.67,AMOLED,120.0,50,2,Realme,Medium,HD,Dimensity 7050,9126726.310726311,6119544.246451223,9082156.038961038,8392006.16412573
5950000.0,12.0,512,6.78,AMOLED,144.0,50,2,Vivo,Medium,HD,Dimensity 8400,9884080.519480519,8905240.456513183,9112274.266970143,8518776.899995312
15250000.0,16.0,1024,6.31,LTPO AMOLED,120.0,50,3,Vivo,Premium,HD,Dimensity 9400,10494417.843026537,8987866.719139446,12428915.728715727,8308181.232125276
2600000.0,8.0,256,6.74,IPS LCD,90.0,50,2,Xiaomi,Low,HD,Helio G85,7062544.733044732,7588956.679683952,4382790.110510607,8518776.899995312
19450000.0,16.0,1024,6.73,LTPO OLED,120.0,50,4,Xiaomi,Premium,FHD,Snapdragon 8 gen 2,13982232.207792208,8032423.5633647395,14429685.99257885,19419711.802902978
6950000.0,12.0,256,6.7,Super AMOLED,120.0,50,3,Samsung,Medium,HD,Snapdragon 6 gen 3,9793886.209029065,13574247.88255223,7209051.738583996,8402907.66897336
28590000.0,12.0,256,6.3,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic,15707641.737572772,19062302.697302695,17377780.89652283,8392006.16412573
7050000.0,12.0,256,6.7,Super AMOLED+,120.0,50,3,Samsung,Medium,HD,Snapdragon 7 gen 1,9918765.669113494,13801570.887445888,9884080.519480519,8634637.256053168
4950000.0,8.0,256,6.67,AMOLED,60.0,64,2,Tecno,Medium,HD,Helio G85,7014766.955266955,5928023.005565863,9032217.12458396,8308181.232125276
750000.0,6.0,128,6.3,IPS LCD,60.0,16,2,OPPO,Low,HD,Helio p60,9884080.519480519,8497237.133237133,4463947.352049148,8392006.16412573
13550000.0,12.0,512,6.55,LTPO AMOLED,120.0,50,3,Xiaomi,High,HD,Snapdragon 8,9871049.41753132,7852799.846710074,12260284.8253566,8450971.988991197
7550000.0,16.0,512,6.74,AMOLED,120.0,64,3,OnePlus,Medium,HD,Dimensity 9000,9955527.74498229,12093040.25974026,9112274.266970143,8518776.899995312
6950000.0,8.0,256,6.67,AMOLED E4,120.0,50,2,Vivo,Medium,HD,Snapdragon 685,8865067.099567099,8832342.27994228,9884080.519480519,8634637.256053168
4500000.0,8.0,128,6.5,TFT LCD,60.0,48,4,Samsung,Medium,HD,Dimensity 720,9587219.5423624,13801570.887445888,8142560.389610389,8634637.256053168
25890000.0,12.0,256,6.7,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic,15768230.617866982,19317722.845336482,17459177.365491647,8518776.899995312
