price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model,chip_model_encoded,brand_encoded,screen_tech_encoded,screen_resolution_k_encoded
14490000.0,12.0,256,6.78,AMOLED,60.0,50,3,Asus,High,HD,Snapdragon 8,10001674.027339641,13917296.267087275,8814153.412615655,8514044.54111523
11950000.0,12.0,1024,6.59,AMOLED,120.0,48,2,Asus,High,HD,Snapdragon 855,9407208.83280757,14777804.416403785,8652998.667789413,8478074.60955868
10750000.0,12.0,256,6.59,AMOLED,144.0,64,3,Asus,High,HD,Snapdragon 865,10153434.880576836,14934427.323465178,8684478.137766974,8622095.701029267
11450000.0,16.0,512,6.59,AMOLED,144.0,64,3,Asus,High,HD,Snapdragon 865,10192819.400630914,13917296.267087275,8814153.412615655,8514044.54111523
14450000.0,16.0,512,6.78,AMOLED,144.0,64,3,Asus,High,HD,Snapdragon 888,11506006.309148263,14934427.323465178,8684478.137766974,8622095.701029267
13950000.0,16.0,256,6.78,AMOLED,144.0,64,3,Asus,High,HD,Snapdragon 888,11290005.662056135,13909078.163336838,8906548.335996285,8557935.866096748
9950000.0,16.0,256,6.78,AMOLED,165.0,50,3,Asus,High,HD,Dimensity 9000,9762230.40074775,14934427.323465178,8684478.137766974,8622095.701029267
12450000.0,16.0,512,6.78,AMOLED,165.0,50,3,Asus,High,HD,Dimensity 9000,9619208.83280757,14777804.416403785,8652998.667789413,8478074.60955868
8950000.0,16.0,512,6.78,AMOLED,165.0,50,3,Asus,High,HD,Snapdragon 8 gen 1,13372080.320310604,13917296.267087275,8814153.412615655,8514044.54111523
11550000.0,18.0,512,6.78,AMOLED,165.0,50,3,Asus,High,HD,Snapdragon 8 gen 1,13038118.374101464,14460539.65750338,8570011.200063622,8558835.587253692
14450000.0,16.0,512,6.78,AMOLED,165.0,50,3,Asus,High,HD,Snapdragon 8 gen 2,14925593.505980069,14388941.139171029,8734039.109685032,8546529.176983478
31550000.0,16.0,512,6.78,AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 gen 2,14995935.946104903,13917296.267087275,8814153.412615655,8514044.54111523
15450000.0,24.0,1024,6.78,LTPO AMOLED,165.0,50,6,Asus,Premium,HD,Snapdragon 8 gen 3,18545581.169619024,14777804.416403785,13067163.823985457,8478074.60955868
19950000.0,24.0,1024,6.78,AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 gen 3,17652284.575792793,14934427.323465178,8684478.137766974,8622095.701029267
17650000.0,16.0,512,6.78,LTPO AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 e,15879366.400429558,14777804.416403785,13067163.823985457,8478074.60955868
22450000.0,16.0,256,6.78,LTPO SAMSUNG Flexible AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 gen 3,17860681.708816767,13917296.267087275,9861511.041009463,8514044.54111523
27950000.0,24.0,1024,6.78,LTPO AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 e,15389379.60042061,13909078.163336838,12339695.887984946,8557935.866096748
20490000.0,16.0,512,5.92,Super AMOLED,144.0,50,2,Asus,Premium,HD,Snapdragon 8 gen 2,14995935.946104903,13917296.267087275,7485180.937359171,8514044.54111523
25950000.0,16.0,512,6.78,LTPO AMOLED,144.0,50,3,Asus,Premium,HD,Snapdragon 8 gen 3,16414514.1337292,13909078.163336838,12339695.887984946,8557935.866096748
26950000.0,16.0,512,6.78,LTPO AMOLED,144.0,50,3,Asus,Premium,HD,Snapdragon 8 e,15742087.933753943,14460539.65750338,12575940.45741325,8558835.587253692
16450000.0,16.0,256,5.9,Super AMOLED,120.0,50,2,Asus,Premium,HD,Snapdragon 8 gen 1,12322503.561615955,14777804.416403785,7792726.352464805,8478074.60955868
3990000.0,8.0,256,6.78,IPS LCD,120.0,108,3,Infinix,Medium,HD,Helio G99,7222862.400480696,8267194.400630915,4234313.623719911,8514044.54111523
2890000.0,8.0,256,6.56,IPS LCD,90.0,50,1,Infinix,Low,HD,Unisoc t606,8670425.867507886,8377947.671182036,4366588.32807571,8558835.587253692
2290000.0,4.0,128,6.56,IPS LCD,90.0,50,1,Infinix,Low,HD,Unisoc t606,8595464.633718893,8162990.698645388,4303207.424525562,8546529.176983478
4890000.0,8.0,256,6.78,AMOLED,60.0,50,2,Infinix,Medium,HD,Helio G100,9054592.534174552,8267194.400630915,8814153.412615655,8514044.54111523
3790000.0,8.0,256,6.78,IPS LCD,120.0,50,2,Infinix,Medium,HD,Helio G100,9246096.557399534,8377947.671182036,4366588.32807571,8558835.587253692
5790000.0,8.0,256,6.78,AMOLED,120.0,108,3,Infinix,Medium,HD,Helio G99,7183176.117565591,8019124.141770272,8652998.667789413,8478074.60955868
2790000.0,8.0,128,6.6,IPS LCD,90.0,50,1,Itel,Low,HD,Unisoc t606,8435208.83280757,7298444.400630915,4234313.623719911,8514044.54111523
2690000.0,8.0,128,6.6,IPS LCD,90.0,50,2,Itel,Low,HD,Unisoc t606,8439208.83280757,7859650.743578188,4344292.7188585885,8622095.701029267
3290000.0,8.0,128,6.56,IPS LCD,120.0,50,1,Itel,Medium,HD,Helio G99,7263755.520504731,7267194.400630915,4366588.32807571,8558835.587253692
3990000.0,12.0,256,6.56,IPS LCD,60.0,50,1,Itel,Medium,HD,Helio G99,7258005.520504731,7859650.743578188,4344292.7188585885,8622095.701029267
3590000.0,8.0,256,6.56,IPS LCD,120.0,50,1,Itel,Medium,HD,Helio G99,7200285.983085417,7536639.976179747,4303207.424525562,8546529.176983478
