price_category,price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,screen_resolution_k,chip_model
High,14490000.0,12.0,256,6.78,AMOLED,60.0,50,3,Asus,HD,Snapdragon 8
High,11950000.0,12.0,1024,6.59,AMOLED,120.0,48,2,Asus,HD,Snapdragon 855
High,10750000.0,12.0,256,6.59,AMOLED,144.0,64,3,Asus,HD,Snapdragon 865
High,11450000.0,16.0,512,6.59,AMOLED,144.0,64,3,Asus,HD,Snapdragon 865
High,14450000.0,16.0,512,6.78,AMOLED,144.0,64,3,Asus,HD,Snapdragon 888
High,13950000.0,16.0,256,6.78,AMOLED,144.0,64,3,Asus,HD,Snapdragon 888
High,9950000.0,16.0,256,6.78,AMOLED,165.0,50,3,Asus,HD,Dimensity 9000
High,12450000.0,16.0,512,6.78,AMOLED,165.0,50,3,Asus,HD,Dimensity 9000
High,8950000.0,16.0,512,6.78,AMOLED,165.0,50,3,Asus,HD,Snapdragon 8 gen 1
High,11550000.0,18.0,512,6.78,AMOLED,165.0,50,3,Asus,HD,Snapdragon 8 gen 1
High,14450000.0,16.0,512,6.78,AMOLED,165.0,50,3,Asus,HD,Snapdragon 8 gen 2
Premium,31550000.0,16.0,512,6.78,AMOLED,165.0,50,3,Asus,HD,Snapdragon 8 gen 2
Premium,15450000.0,24.0,1024,6.78,LTPO AMOLED,165.0,50,6,Asus,HD,Snapdragon 8 gen 3
Premium,19950000.0,24.0,1024,6.78,AMOLED,165.0,50,3,Asus,HD,Snapdragon 8 gen 3
Premium,17650000.0,16.0,512,6.78,LTPO AMOLED,165.0,50,3,Asus,HD,Snapdragon 8 e
Premium,22450000.0,16.0,256,6.78,LTPO SAMSUNG Flexible AMOLED,165.0,50,3,Asus,HD,Snapdragon 8 gen 3
Premium,27950000.0,24.0,1024,6.78,LTPO AMOLED,165.0,50,3,Asus,HD,Snapdragon 8 e
Premium,20490000.0,16.0,512,5.92,Super AMOLED,144.0,50,2,Asus,HD,Snapdragon 8 gen 2
Premium,25950000.0,16.0,512,6.78,LTPO AMOLED,144.0,50,3,Asus,HD,Snapdragon 8 gen 3
Premium,26950000.0,16.0,512,6.78,LTPO AMOLED,144.0,50,3,Asus,HD,Snapdragon 8 e
Premium,16450000.0,16.0,256,5.9,Super AMOLED,120.0,50,2,Asus,HD,Snapdragon 8 gen 1
Medium,3990000.0,8.0,256,6.78,IPS LCD,120.0,108,3,Infinix,HD,Helio G99
Low,2890000.0,8.0,256,6.56,IPS LCD,90.0,50,1,Infinix,HD,Unisoc t606
Low,2290000.0,4.0,128,6.56,IPS LCD,90.0,50,1,Infinix,HD,Unisoc t606
Medium,4890000.0,8.0,256,6.78,AMOLED,60.0,50,2,Infinix,HD,Helio G100
Medium,3790000.0,8.0,256,6.78,IPS LCD,120.0,50,2,Infinix,HD,Helio G100
Medium,5790000.0,8.0,256,6.78,AMOLED,120.0,108,3,Infinix,HD,Helio G99
Low,2790000.0,8.0,128,6.6,IPS LCD,90.0,50,1,Itel,HD,Unisoc t606
Low,2690000.0,8.0,128,6.6,IPS LCD,90.0,50,2,Itel,HD,Unisoc t606
Medium,3290000.0,8.0,128,6.56,IPS LCD,120.0,50,1,Itel,HD,Helio G99
Medium,3990000.0,12.0,256,6.56,IPS LCD,60.0,50,1,Itel,HD,Helio G99
Medium,3590000.0,8.0,256,6.56,IPS LCD,120.0,50,1,Itel,HD,Helio G99
Medium,7090000.0,8.0,256,6.67,Super AMOLED,60.0,50,1,Nothing,HD,Dimensity 7300
Medium,7990000.0,12.0,256,6.7,Flexible AMOLED On-cell,120.0,50,2,Nothing,HD,Dimensity 7200 pro
High,8890000.0,12.0,256,6.7,Flexible AMOLED On-cell,120.0,50,2,Nothing,HD,Dimensity 7350 pro
Medium,6790000.0,8.0,128,6.7,Flexible AMOLED On-cell,120.0,50,2,Nothing,HD,Dimensity 7200 pro
Low,1990000.0,4.0,128,6.6,IPS LCD,90.0,50,1,Nubia,HD,Sc986 3a
Medium,3990000.0,8.0,128,6.8,IPS LCD,60.0,50,2,Nubia,HD,Unisoc t8100
Low,2690000.0,6.0,256,6.6,IPS LCD,90.0,50,2,Nubia,HD,Unisoc t606
Low,2990000.0,4.0,64,6.56,IPS LCD,90.0,8,2,OPPO,HD,Helio G85
Medium,6090000.0,8.0,256,6.67,LCD,90.0,50,1,OPPO,HD,Snapdragon 6
Medium,4590000.0,6.0,128,6.67,LCD,90.0,50,1,OPPO,HD,Snapdragon 6
Medium,3990000.0,4.0,128,6.67,LCD,60.0,8,1,OPPO,HD,Snapdragon 6
High,8490000.0,8.0,256,6.7,AMOLED,120.0,64,3,OPPO,HD,Dimensity 7050
High,9490000.0,12.0,256,6.7,AMOLED,120.0,50,3,OPPO,HD,Dimensity 7300
Medium,7490000.0,8.0,256,6.7,AMOLED,120.0,50,3,OPPO,HD,Dimensity 6300
High,8790000.0,8.0,256,6.67,AMOLED,120.0,50,3,OPPO,HD,Helio G100
High,10790000.0,12.0,256,6.67,AMOLED,120.0,50,3,OPPO,HD,Snapdragon 6 gen1
Medium,7690000.0,8.0,256,6.67,OLED,120.0,50,2,Realme,HD,Dimensity 7300
Medium,3390000.0,6.0,256,6.74,IPS LCD,90.0,50,2,Realme,HD,Unisoc t612
Low,1690000.0,4.0,64,6.74,IPS LCD,90.0,13,2,Realme,HD,Unisoc t612
Medium,3790000.0,6.0,128,6.745,IPS LCD,90.0,50,2,Realme,HD,Tiger t612
Low,2890000.0,4.0,128,6.745,IPS LCD,90.0,50,2,Realme,HD,Tiger t612
Medium,4430000.0,8.0,128,6.67,IPS LCD,60.0,50,1,Realme,HD,Helio G85
