price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model
14490000.0,12.0,256,6.78,AMOLED,60.0,50,3,Asus,High,HD,Snapdragon 8
11950000.0,12.0,1024,6.59,AMOLED,120.0,48,2,Asus,High,HD,Snapdragon 855
10750000.0,12.0,256,6.59,AMOLED,144.0,64,3,Asus,High,HD,Snapdragon 865
11450000.0,16.0,512,6.59,AMOLED,144.0,64,3,Asus,High,HD,Snapdragon 865
14450000.0,16.0,512,6.78,AMOLED,144.0,64,3,Asus,High,HD,Snapdragon 888
13950000.0,16.0,256,6.78,AMOLED,144.0,64,3,Asus,High,HD,Snapdragon 888
9950000.0,16.0,256,6.78,AMOLED,165.0,50,3,Asus,High,HD,Dimensity 9000
12450000.0,16.0,512,6.78,AMOLED,165.0,50,3,Asus,High,HD,Dimensity 9000
8950000.0,16.0,512,6.78,AMOLED,165.0,50,3,Asus,High,HD,Snapdragon 8 gen 1
11550000.0,18.0,512,6.78,AMOLED,165.0,50,3,Asus,High,HD,Snapdragon 8 gen 1
14450000.0,16.0,512,6.78,AMOLED,165.0,50,3,Asus,High,HD,Snapdragon 8 gen 2
31550000.0,16.0,512,6.78,AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 gen 2
15450000.0,24.0,1024,6.78,LTPO AMOLED,165.0,50,6,Asus,Premium,HD,Snapdragon 8 gen 3
19950000.0,24.0,1024,6.78,AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 gen 3
17650000.0,16.0,512,6.78,LTPO AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 e
22450000.0,16.0,256,6.78,LTPO SAMSUNG Flexible AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 gen 3
27950000.0,24.0,1024,6.78,LTPO AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 e
20490000.0,16.0,512,5.92,Super AMOLED,144.0,50,2,Asus,Premium,HD,Snapdragon 8 gen 2
25950000.0,16.0,512,6.78,LTPO AMOLED,144.0,50,3,Asus,Premium,HD,Snapdragon 8 gen 3
26950000.0,16.0,512,6.78,LTPO AMOLED,144.0,50,3,Asus,Premium,HD,Snapdragon 8 e
16450000.0,16.0,256,5.9,Super AMOLED,120.0,50,2,Asus,Premium,HD,Snapdragon 8 gen 1
3990000.0,8.0,256,6.78,IPS LCD,120.0,108,3,Infinix,Medium,HD,Helio G99
2890000.0,8.0,256,6.56,IPS LCD,90.0,50,1,Infinix,Low,HD,Unisoc t606
2290000.0,4.0,128,6.56,IPS LCD,90.0,50,1,Infinix,Low,HD,Unisoc t606
4890000.0,8.0,256,6.78,AMOLED,60.0,50,2,Infinix,Medium,HD,Helio G100
3790000.0,8.0,256,6.78,IPS LCD,120.0,50,2,Infinix,Medium,HD,Helio G100
5790000.0,8.0,256,6.78,AMOLED,120.0,108,3,Infinix,Medium,HD,Helio G99
2790000.0,8.0,128,6.6,IPS LCD,90.0,50,1,Itel,Low,HD,Unisoc t606
2690000.0,8.0,128,6.6,IPS LCD,90.0,50,2,Itel,Low,HD,Unisoc t606
3290000.0,8.0,128,6.56,IPS LCD,120.0,50,1,Itel,Medium,HD,Helio G99
3990000.0,12.0,256,6.56,IPS LCD,60.0,50,1,Itel,Medium,HD,Helio G99
3590000.0,8.0,256,6.56,IPS LCD,120.0,50,1,Itel,Medium,HD,Helio G99
7090000.0,8.0,256,6.67,Super AMOLED,60.0,50,1,Nothing,Medium,HD,Dimensity 7300
7990000.0,12.0,256,6.7,Flexible AMOLED On-cell,120.0,50,2,Nothing,Medium,HD,Dimensity 7200 pro
8890000.0,12.0,256,6.7,Flexible AMOLED On-cell,120.0,50,2,Nothing,High,HD,Dimensity 7350 pro
6790000.0,8.0,128,6.7,Flexible AMOLED On-cell,120.0,50,2,Nothing,Medium,HD,Dimensity 7200 pro
1990000.0,4.0,128,6.6,IPS LCD,90.0,50,1,Nubia,Low,HD,Sc986 3a
3990000.0,8.0,128,6.8,IPS LCD,60.0,50,2,Nubia,Medium,HD,Unisoc t8100
2690000.0,6.0,256,6.6,IPS LCD,90.0,50,2,Nubia,Low,HD,Unisoc t606
2990000.0,4.0,64,6.56,IPS LCD,90.0,8,2,OPPO,Low,HD,Helio G85
6090000.0,8.0,256,6.67,LCD,90.0,50,1,OPPO,Medium,HD,Snapdragon 6
4590000.0,6.0,128,6.67,LCD,90.0,50,1,OPPO,Medium,HD,Snapdragon 6
3990000.0,4.0,128,6.67,LCD,60.0,8,1,OPPO,Medium,HD,Snapdragon 6
8490000.0,8.0,256,6.7,AMOLED,120.0,64,3,OPPO,High,HD,Dimensity 7050
9490000.0,12.0,256,6.7,AMOLED,120.0,50,3,OPPO,High,HD,Dimensity 7300
7490000.0,8.0,256,6.7,AMOLED,120.0,50,3,OPPO,Medium,HD,Dimensity 6300
8790000.0,8.0,256,6.67,AMOLED,120.0,50,3,OPPO,High,HD,Helio G100
10790000.0,12.0,256,6.67,AMOLED,120.0,50,3,OPPO,High,HD,Snapdragon 6 gen1
7690000.0,8.0,256,6.67,OLED,120.0,50,2,Realme,Medium,HD,Dimensity 7300
3390000.0,6.0,256,6.74,IPS LCD,90.0,50,2,Realme,Medium,HD,Unisoc t612
1690000.0,4.0,64,6.74,IPS LCD,90.0,13,2,Realme,Low,HD,Unisoc t612
3790000.0,6.0,128,6.745,IPS LCD,90.0,50,2,Realme,Medium,HD,Tiger t612
2890000.0,4.0,128,6.745,IPS LCD,90.0,50,2,Realme,Low,HD,Tiger t612
4430000.0,8.0,128,6.67,IPS LCD,60.0,50,1,Realme,Medium,HD,Helio G85
3990000.0,8.0,256,6.67,IPS LCD,60.0,50,1,Realme,Medium,HD,Helio G85
4890000.0,8.0,256,6.745,IPS LCD,90.0,50,1,Realme,Medium,HD,Tiger t612
4290000.0,8.0,128,6.72,IPS LCD,90.0,108,2,Realme,Medium,HD,Snapdragon 685
2790000.0,4.0,128,6.74,IPS LCD,60.0,13,2,Realme,Low,HD,Tiger t612
3190000.0,4.0,64,6.74,IPS LCD,90.0,32,1,Realme,Medium,HD,Unisoc t612
1990000.0,3.0,64,6.74,LCD,90.0,8,1,Realme,Low,HD,Unisoc t612
9290000.0,12.0,512,6.67,AMOLED,120.0,200,3,Xiaomi,High,HD,Snapdragon 7
3190000.0,6.0,128,6.7,PLS LCD,90.0,50,3,Samsung,Medium,HD,Snapdragon 680
3990000.0,4.0,128,6.7,PLS LCD,90.0,50,2,Samsung,Medium,HD,Dimensity 6300
2990000.0,4.0,128,6.7,PLS LCD,60.0,50,2,Samsung,Low,HD,Helio G85
4590000.0,4.0,128,6.7,Super AMOLED,90.0,50,3,Samsung,Medium,HD,Helio G99
6790000.0,8.0,128,6.7,Super AMOLED,60.0,50,3,Samsung,Medium,HD,Exynos 1380
7990000.0,8.0,128,6.7,Super AMOLED,120.0,50,3,Samsung,Medium,HD,Snapdragon 6 gen 3
9490000.0,8.0,128,6.7,Super AMOLED,120.0,50,3,Samsung,High,HD,Exynos 1580
5890000.0,6.0,128,6.5,Super AMOLED,60.0,50,3,Samsung,Medium,HD,Dimensity 6100
8490000.0,8.0,256,6.6,Super AMOLED,120.0,50,2,Samsung,High,HD,Exynos 1380
9190000.0,12.0,256,6.7,Super AMOLED Plus,120.0,50,3,Samsung,High,HD,Snapdragon 7 gen 1
11890000.0,8.0,256,6.4,Dynamic AMOLED 2X,120.0,50,3,Samsung,High,HD,Exynos 2200 8
13490000.0,8.0,128,6.7,Dynamic AMOLED,120.0,50,2,Samsung,High,HD,Exynos 2400
25990000.0,12.0,512,6.7,Dynamic AMOLED 2X,120.0,50,3,Samsung,Premium,FHD,Snapdragon 8 e
37190000.0,12.0,1024,6.9,Dynamic AMOLED 2X,120.0,200,4,Samsung,Premium,FHD,Snapdragon 8 e
27990000.0,12.0,256,6.9,Dynamic AMOLED 2X,120.0,200,4,Samsung,Premium,FHD,Snapdragon 8 e
25490000.0,12.0,256,6.5,OLED,120.0,52,4,Sony,Premium,HD,Snapdragon 8 gen 3
8750000.0,8.0,128,6.1,OLED,120.0,48,3,Sony,High,HD,Snapdragon 6 gen 1
5690000.0,12.0,256,6.78,AMOLED,120.0,50,2,Tecno,Medium,HD,Helio G99
3590000.0,8.0,256,6.78,AMOLED,120.0,100,1,Tecno,Medium,HD,G10 0
4290000.0,6.0,128,6.67,IPS LCD,60.0,108,1,Tecno,Medium,HD,D630 0
4590000.0,8.0,256,6.78,AMOLED,60.0,108,1,Tecno,Medium,HD,Helio G100
1990000.0,4.0,128,6.67,IPS LCD,120.0,50,0,Tecno,Low,HD,Helio G81
2190000.0,4.0,64,6.67,IPS LCD,60.0,13,1,Tecno,Low,HD,Unisoc t615
2090000.0,4.0,64,6.67,IPS LCD,120.0,13,1,Tecno,Low,HD,Unisoc t615
6990000.0,12.0,256,6.78,AMOLED,120.0,50,2,Vivo,Medium,HD,Snapdragon 6 gen 1
2890000.0,4.0,128,6.56,LCD,60.0,13,4,Vivo,Low,HD,Helio G85
3190000.0,4.0,128,6.56,LCD,90.0,13,4,Vivo,Medium,HD,T61 2
3190000.0,4.0,64,6.56,LCD,90.0,13,4,Vivo,Medium,HD,T61 2
2990000.0,4.0,64,6.74,LCD,60.0,13,4,Vivo,Low,HD,Unisoc t7225 8
3790000.0,6.0,128,6.74,LCD,60.0,13,4,Vivo,Medium,HD,Unisoc t7225 8
3190000.0,4.0,64,6.56,IPS LCD,90.0,50,2,Vivo,Medium,HD,Helio G85
2890000.0,6.0,128,6.56,IPS LCD,90.0,50,4,Vivo,Low,HD,Helio G85
4590000.0,8.0,128,6.68,LCD,90.0,50,2,Vivo,Medium,HD,T61 2
5090000.0,8.0,128,6.67,IPS LCD,60.0,50,2,Vivo,Medium,HD,Helio G85
5790000.0,8.0,256,6.64,IPS LCD,90.0,50,2,Vivo,Medium,HD,Snapdragon 680
31990000.0,16.0,512,6.73,AMOLED,120.0,200,4,Xiaomi,Premium,FHD,Snapdragon 8 e
21990000.0,12.0,256,6.36,CrystalRes AMOLED,120.0,50,3,Xiaomi,Premium,HD,Snapdragon 8 e
2390000.0,4.0,128,6.71,IPS LCD,90.0,8,1,Xiaomi,Low,HD,Helio G36
7790000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,Medium,HD,Snapdragon 7
6290000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,Medium,HD,Helio G99ULTRA
7290000.0,8.0,256,6.67,AMOLED,60.0,108,3,Xiaomi,Medium,HD,Dimensity 7025 ultra
9690000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,High,HD,Snapdragon 7
4590000.0,6.0,128,6.67,AMOLED,120.0,108,3,Xiaomi,Medium,HD,Helio G99ULTRA
2190000.0,4.0,128,6.75,IPS LCD,60.0,13,1,ZTE,Low,HD,A1 Bionic
1990000.0,4.0,64,6.75,IPS LCD,60.0,13,1,ZTE,Low,HD,A1 Bionic
2290000.0,6.0,128,6.67,IPS LCD,60.0,48,3,ZTE,Low,HD,Unisoc t618
2650000.0,6.0,128,5.81,OLED,60.0,12,1,Google,Low,HD,Snapdragon 730g
3150000.0,6.0,128,6.2,OLED,60.0,16,2,Google,Medium,HD,Snapdragon 765g
4450000.0,6.0,128,6.3,P-OLED,90.0,16,2,Google,Medium,FHD,Snapdragon 855
3750000.0,6.0,128,6.34,OLED,60.0,16,2,Google,Medium,HD,Snapdragon 765g
6250000.0,6.0,128,6.1,OLED,60.0,12,2,Google,Medium,HD,Tensor 8
7250000.0,12.0,512,6.7,LTPO AMOLED,120.0,50,3,Google,Medium,FHD,Tensor 8
11950000.0,8.0,256,6.3,AMOLED,90.0,50,2,Google,High,HD,Tensor G2
10550000.0,8.0,128,6.1,OLED,90.0,64,2,Google,High,HD,Tensor G2
18990000.0,12.0,512,6.7,LTPO AMOLED,120.0,50,3,Google,Premium,FHD,Tensor G2
12690000.0,8.0,256,6.1,OLED,120.0,64,2,Google,High,HD,Tensor G3
17050000.0,8.0,256,6.2,OLED,120.0,50,2,Google,Premium,HD,Tensor G3
24390000.0,12.0,256,6.7,LTPO OLED,120.0,50,3,Google,Premium,HD,Tensor G3
20050000.0,12.0,256,6.3,OLED,120.0,50,2,Google,Premium,HD,Tensor G4
24950000.0,16.0,1024,6.3,LTPO OLED,120.0,50,3,Google,Premium,HD,Tensor G4
42250000.0,16.0,512,8.0,Foldable LTPO OLED | Màn phụ: OLED,120.0,48,3,Google,Premium,2K,Tensor G4
27550000.0,16.0,1024,6.8,LTPO OLED,120.0,50,3,Google,Premium,HD,Tensor G4
39890000.0,12.0,512,7.6,OLED,120.0,48,3,Google,Premium,FHD,Tensor G2
12950000.0,12.0,512,6.7,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 7 gen 3
6450000.0,6.0,128,6.26,IPS LCD,60.0,48,3,Honor,Medium,HD,Kirin 810
7450000.0,16.0,512,6.7,AMOLED,120.0,50,2,Honor,Medium,HD,Snapdragon 7 gen 3
11950000.0,16.0,512,6.78,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 8 gen 3
14750000.0,16.0,1024,6.78,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 8 gen 3
8050000.0,16.0,512,6.7,AMOLED,120.0,50,2,Honor,High,HD,Snapdragon 7 gen 4
11950000.0,16.0,512,6.78,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 8 gen 3
