price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model
2750000.0,8.0,256,6.67,IPS LCD,120.0,32,1,Realme,Low,HD,Dimensity 6300
3950000.0,8.0,256,6.6,IPS LCD,90.0,50,2,Realme,Medium,HD,Dimensity 700
9050000.0,8.0,128,6.02,AMOLED,60.0,20,2,Xiaomi,High,HD,Snapdragon 845
8450000.0,12.0,256,6.55,OLED,120.0,64,3,Xiaomi,High,HD,Snapdragon 778g
6990000.0,12.0,512,6.67,AMOLED,120.0,50,2,Vivo,Medium,HD,Snapdragon 4 gen 2
2250000.0,3.0,32,6.09,IPS LCD,60.0,8,2,Vsmart,Low,HD,Helio p35
6688000.0,12.0,256,6.64,IPS LCD,60.0,50,2,Vivo,Medium,HD,Dimensity 6020
15950000.0,16.0,1024,6.3,AMOLED,120.0,50,3,OPPO,Premium,HD,Dimensity 9500
10250000.0,12.0,512,6.55,OLED,144.0,50,3,Meizu,High,HD,Snapdragon 8 gen 2
19190000.0,12.0,128,6.1,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic
4890000.0,8.0,256,6.745,IPS LCD,90.0,50,1,Realme,Medium,HD,Tiger t612
9290000.0,12.0,512,6.67,AMOLED,120.0,200,3,Xiaomi,High,HD,Snapdragon 7
5750000.0,8.0,256,6.68,IPS LCD,90.0,50,2,Vivo,Medium,HD,Helio G85
4650000.0,8.0,128,6.67,AMOLED,120.0,50,2,Realme,Medium,HD,Dimensity 7050
5950000.0,12.0,512,6.78,AMOLED,144.0,50,2,Vivo,Medium,HD,Dimensity 8400
15250000.0,16.0,1024,6.31,LTPO AMOLED,120.0,50,3,Vivo,Premium,HD,Dimensity 9400
2600000.0,8.0,256,6.74,IPS LCD,90.0,50,2,Xiaomi,Low,HD,Helio G85
19450000.0,16.0,1024,6.73,LTPO OLED,120.0,50,4,Xiaomi,Premium,FHD,Snapdragon 8 gen 2
6950000.0,12.0,256,6.7,Super AMOLED,120.0,50,3,Samsung,Medium,HD,Snapdragon 6 gen 3
28590000.0,12.0,256,6.3,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic
7050000.0,12.0,256,6.7,Super AMOLED+,120.0,50,3,Samsung,Medium,HD,Snapdragon 7 gen 1
4950000.0,8.0,256,6.67,AMOLED,60.0,64,2,Tecno,Medium,HD,Helio G85
750000.0,6.0,128,6.3,IPS LCD,60.0,16,2,OPPO,Low,HD,Helio p60
13550000.0,12.0,512,6.55,LTPO AMOLED,120.0,50,3,Xiaomi,High,HD,Snapdragon 8
7550000.0,16.0,512,6.74,AMOLED,120.0,64,3,OnePlus,Medium,HD,Dimensity 9000
6950000.0,8.0,256,6.67,AMOLED E4,120.0,50,2,Vivo,Medium,HD,Snapdragon 685
4500000.0,8.0,128,6.5,TFT LCD,60.0,48,4,Samsung,Medium,HD,Dimensity 720
25890000.0,12.0,256,6.7,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic
3650000.0,4.0,128,6.5,LTPS LCD,90.0,50,4,Xiaomi,Medium,HD,Helio G88
20950000.0,8.0,512,6.1,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic
15450000.0,16.0,1024,6.74,AMOLED,144.0,50,3,Realme,Premium,HD,Snapdragon 8 gen 1
6250000.0,16.0,512,6.74,AMOLED,120.0,50,2,OnePlus,Medium,HD,Snapdragon 7 gen 3
19950000.0,24.0,1024,6.78,AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 gen 3
3450000.0,4.0,64,6.2,AMOLED,60.0,48,3,Vsmart,Medium,HD,Snapdragon 675
3190000.0,4.0,128,6.56,LCD,90.0,13,4,Vivo,Medium,HD,T61 2
19950000.0,16.0,1024,6.73,LTPO AMOLED,120.0,50,4,Xiaomi,Premium,FHD,Snapdragon 8 gen 3
6450000.0,12.0,256,6.7,OLED,120.0,108,2,OPPO,Medium,HD,Snapdragon 695
5650000.0,12.0,512,6.78,AMOLED,144.0,50,2,Vivo,Medium,HD,Snapdragon 7 gen 3
9550000.0,12.0,128,6.78,LTPO AMOLED,120.0,50,2,Realme,High,HD,Snapdragon 7 gen 3
7890000.0,8.0,256,6.4,Super AMOLED,120.0,50,3,Samsung,Medium,HD,Exynos 1380
16790000.0,8.0,256,6.2,Dynamic AMOLED 2X,120.0,50,3,Samsung,Premium,HD,Exynos 2400
3650000.0,8.0,256,6.72,IPS LCD,90.0,50,1,Realme,Medium,HD,Helio G85
3850000.0,4.0,64,6.3,IPS LCD,60.0,16,2,Realme,Medium,HD,Snapdragon 710
2190000.0,4.0,64,6.67,IPS LCD,60.0,13,1,Tecno,Low,HD,Unisoc t615
1790000.0,3.0,64,6.52,IPS LCD,60.0,13,3,ZTE,Low,HD,Sc986 3a
3890000.0,4.0,64,6.43,AMOLED,90.0,50,4,Xiaomi,Medium,HD,Snapdragon 680
3250000.0,6.0,128,6.79,IPS LCD,90.0,50,2,Xiaomi,Medium,HD,Snapdragon 4 gen 2
5450000.0,12.0,256,6.78,AMOLED,120.0,50,2,Vivo,Medium,HD,Snapdragon 695
3250000.0,12.0,256,6.67,IPS LCD,120.0,50,1,OPPO,Medium,HD,Dimensity 6300
8950000.0,16.0,1024,6.78,LTPO AMOLED,144.0,50,2,Vivo,High,HD,Dimensity 9400 plus
15450000.0,8.0,256,6.9,Foldable LTPO AMOLED | Màn phụ: AMOLED,120.0,64,2,Tecno,Premium,HD,Dimensity 8050
11750000.0,12.0,256,6.7,Super AMOLED,90.0,108,4,Xiaomi,High,HD,Snapdragon 865
18650000.0,6.0,512,6.1,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A16 Bionic
9450000.0,8.0,256,6.43,AMOLED,90.0,64,3,OPPO,High,HD,Dimensity 900
4650000.0,8.0,256,6.6,IPS LCD,144.0,48,3,Realme,Medium,HD,Snapdragon 778g
4750000.0,8.0,128,6.4,"Super AMOLED, 430 nits (typ), 600 nits (peak)",60.0,64,3,Realme,Medium,HD,Dimensity 800
13250000.0,12.0,256,6.9,Foldable LTPO AMOLED,144.0,64,2,Motorola,High,HD,Snapdragon 7 gen 1
11050000.0,12.0,512,6.78,OLED,120.0,200,3,Honor,High,HD,Snapdragon 8 gen 1
11650000.0,16.0,512,6.78,AMOLED,120.0,50,3,Vivo,High,HD,Dimensity 9200
3760000.0,6.0,128,6.72,IPS LCD,120.0,50,2,Realme,Medium,HD,Dimensity 6100
8450000.0,8.0,256,6.7,Super AMOLED Plus,120.0,108,3,Samsung,High,HD,Exynos 1380 8
