price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model
10850000.0,16.0,512,6.78,LTPO AMOLED (Samsung),120.0,50,2,Realme,High,HD,Snapdragon 8 e
2120000.0,8.0,128,6.5,PLS LCD,60.0,50,2,Samsung,Low,HD,Helio p35
2150000.0,4.0,64,6.56,TFT LCD,90.0,13,1,Honor,Low,HD,Helio G36
10200000.0,8.0,256,6.5,Super AMOLED,120.0,64,4,Samsung,High,HD,Snapdragon 778g
10950000.0,12.0,256,6.55,OLED,120.0,50,3,Xiaomi,High,HD,Snapdragon 8 gen 1
4750000.0,8.0,256,6.67,IPS LCD,90.0,50,2,OPPO,Medium,HD,Snapdragon 680
6750000.0,16.0,512,6.67,AMOLED,120.0,50,3,Xiaomi,Medium,HD,Snapdragon 7
17950000.0,12.0,512,6.78,LTPO AMOLED,120.0,50,3,Vivo,Premium,FHD,Snapdragon 888
4450000.0,12.0,512,6.67,AMOLED,120.0,50,1,Realme,Medium,HD,Snapdragon 6 gen 4
8450000.0,12.0,256,6.7,AMOLED,120.0,50,2,Nothing,High,HD,Dimensity 7350 pro
11990000.0,8.0,256,6.6,Super AMOLED,120.0,50,3,Samsung,High,HD,Exynos 1380 8
7500000.0,8.0,128,6.5,Amoled,90.0,48,4,OPPO,Medium,HD,Snapdragon 765g
4590000.0,6.0,128,6.67,AMOLED,120.0,108,3,Xiaomi,Medium,HD,Helio G99ULTRA
4190000.0,6.0,128,6.56,IPS LCD,90.0,13,2,OPPO,Medium,HD,Snapdragon 680
7250000.0,12.0,512,6.67,AMOLED,120.0,50,2,Vivo,Medium,HD,Dimensity 7200
19450000.0,12.0,512,6.78,LTPO AMOLED,120.0,50,3,Vivo,Premium,FHD,Snapdragon 8 gen1
3650000.0,12.0,256,6.39,AMOLED,60.0,48,2,Xiaomi,Medium,HD,Snapdragon 855
1990000.0,3.0,64,6.74,LCD,90.0,8,1,Realme,Low,HD,Unisoc t612
2550000.0,6.0,128,6.5,IPS LCD,120.0,48,3,Realme,Low,HD,Dimensity 800
12450000.0,12.0,256,6.62,AMOLED,120.0,50,3,OnePlus,High,HD,Snapdragon 888
9550000.0,12.0,512,6.67,OLED,120.0,160,3,Honor,High,HD,Snapdragon 782g
6500000.0,8.0,256,6.43,"AMOLED, 90Hz",90.0,50,2,OPPO,Medium,HD,Snapdragon 680
9750000.0,12.0,256,6.73,LTPO AMOLED,120.0,50,3,Xiaomi,High,FHD,Snapdragon 8 gen 1
13950000.0,24.0,1024,6.82,LTPO AMOLED,120.0,50,3,OnePlus,High,FHD,Snapdragon 8 e
5890000.0,6.0,128,6.5,Super AMOLED,60.0,50,3,Samsung,Medium,HD,Dimensity 6100
7450000.0,12.0,256,6.0,OLED,120.0,48,3,Vivo,Medium,HD,Snapdragon 870
2450000.0,4.0,64,6.52,IPS LCD,60.0,8,1,Realme,Low,HD,Sc9863a 8 
4590000.0,8.0,128,6.68,LCD,90.0,50,2,Vivo,Medium,HD,T61 2
5950000.0,8.0,256,6.72,IPS LCD,120.0,108,3,OnePlus,Medium,HD,Snapdragon 695
9450000.0,12.0,128,6.78,AMOLED,120.0,50,2,Vivo,High,HD,Dimensity 9200 plus
17050000.0,12.0,512,6.8,AMOLED,120.0,50,3,ZTE,Premium,HD,Snapdragon 8 gen 3
4550000.0,8.0,256,6.53,"IPS LCD, 450 nits (typ)",60.0,48,3,Xiaomi,Medium,HD,Dimensity 800
4590000.0,4.0,128,6.7,Super AMOLED,90.0,50,3,Samsung,Medium,HD,Helio G99
17250000.0,16.0,1024,6.78,LTPO AMOLED,120.0,200,3,Vivo,Premium,HD,Dimensity 9400
5000000.0,6.0,256,6.57,IPS LCD,120.0,64,4,Realme,Medium,HD,Snapdragon 765g
7050000.0,8.0,256,6.78,AMOLED,120.0,64,2,Vivo,Medium,HD,Dimensity 7200
6950000.0,8.0,128,6.5,Super AMOLED,120.0,50,3,Samsung,Medium,HD,Snapdragon 888
2890000.0,8.0,128,6.78,IPS LCD,60.0,50,1,Tecno,Low,HD,Helio G88
27950000.0,24.0,1024,6.78,LTPO AMOLED,165.0,50,3,Asus,Premium,HD,Snapdragon 8 e
